gh_kpmul_kploop_2726,indegree_1,gh_kpmul_kploop_rmisonodes_3296,indegree_8
1,0,1,0
0.74161066,1,0.601580149,1
0.353108067,2,0.395790254,2
0.234048821,3,0.291694058,3
0.175073448,4,0.230974266,4
0.139384355,5,0.189462486,5
0.115136857,6,0.16020224,6
0.096571398,7,0.136679297,7
0.082804276,8,0.118594839,8
0.071378185,9,0.10310412,9
0.062386146,10,0.090553769,10
0.054603381,11,0.079628988,11
0.048122912,12,0.070628593,12
0.042843965,13,0.063170099,13
0.038502981,14,0.056930782,14
0.034658109,15,0.051348864,15
0.031495392,16,0.046878548,16
0.028417944,17,0.042384328,17
0.025635063,18,0.038296499,18
0.023487826,19,0.035105124,19
0.021580893,20,0.032320142,20
0.019774734,21,0.029654686,21
0.01812361,22,0.027180474,22
0.016643024,23,0.024957269,23
0.015092672,24,0.022734064,24
0.014061688,25,0.021180211,25
0.013146981,26,0.019793696,26
0.012139253,27,0.018263749,27
0.011364077,28,0.017104335,28
0.01054239,29,0.015861253,29
0.009805974,30,0.014797461,30
0.00908506,31,0.013745622,31
0.00851143,32,0.012873074,32
0.007968807,33,0.012036384,33
0.007395177,34,0.011151883,34
0.006914568,35,0.01043472,35
0.006503725,36,0.009801226,36
0.006054123,37,0.009107969,37
0.005666535,38,0.008522286,38
0.005271195,39,0.007936603,39
0.004906863,40,0.007386778,40
0.004658806,41,0.007028196,41
0.004379743,42,0.006621804,42
0.00414719,43,0.006263223,43
0.003860375,44,0.005832925,44
0.003620071,45,0.005462391,45
0.003465036,46,0.005223336,46
0.003310001,47,0.005008188,47
0.003170469,48,0.004804991,48
0.002992178,49,0.004530079,49
0.002829392,50,0.004279072,50
0.002682108,51,0.00405197,51
0.002480562,52,0.003765105,52
0.00237979,53,0.00360972,53
0.002201499,54,0.003334808,54
0.002077471,55,0.003155517,55
0.00198445,56,0.003012084,56
0.001868174,57,0.002844746,57
0.001844918,58,0.002808888,58
0.001759649,59,0.002689361,59
0.001689883,60,0.002581786,60
0.001558103,61,0.00237859,61
0.001488337,62,0.002271016,62
0.001403068,63,0.002139536,63
0.001356558,64,0.00206782,64
0.001286792,65,0.001960245,65
0.001209274,66,0.001840718,66
0.001139508,67,0.001733144,67
0.00110075,68,0.00167338,68
0.001077494,69,0.001637522,69
0.001046487,70,0.001589711,70
9.53E-04,71,0.001446279,71
9.15E-04,72,0.001386515,72
8.91E-04,73,0.001350657,73
8.53E-04,74,0.001290893,74
8.06E-04,75,0.001219177,75
7.67E-04,76,0.001159413,76
7.60E-04,77,0.001147461,77
7.36E-04,78,0.001111603,78
6.90E-04,79,0.001039886,79
6.82E-04,80,0.001027933,80
6.59E-04,81,9.92E-04,81
6.51E-04,82,9.80E-04,82
5.66E-04,83,8.49E-04,83
5.50E-04,84,8.25E-04,84
5.35E-04,85,8.01E-04,85
5.12E-04,86,7.65E-04,86
5.12E-04,87,7.65E-04,87
5.12E-04,88,7.65E-04,88
4.73E-04,89,7.05E-04,89
4.50E-04,90,6.69E-04,90
4.50E-04,91,6.69E-04,91
0.000434098,92,6.45E-04,92
4.11E-04,93,6.22E-04,93
3.95E-04,94,5.98E-04,94
3.72E-04,95,5.62E-04,95
3.64E-04,96,5.50E-04,96
3.49E-04,97,5.26E-04,97
3.33E-04,98,5.02E-04,98
3.18E-04,99,4.78E-04,99
3.18E-04,100,4.78E-04,100
3.18E-04,101,4.78E-04,101
2.95E-04,102,4.42E-04,102
2.87E-04,103,4.30E-04,103
2.79E-04,104,4.18E-04,104
2.56E-04,105,3.82E-04,105
2.56E-04,106,3.82E-04,106
2.48E-04,107,3.71E-04,107
2.40E-04,108,3.59E-04,108
0.000217049,109,3.23E-04,109
2.02E-04,110,2.99E-04,110
2.02E-04,111,2.99E-04,111
2.02E-04,112,2.99E-04,112
2.02E-04,113,2.99E-04,113
2.02E-04,114,2.99E-04,114
1.94E-04,115,2.99E-04,115
1.86E-04,116,2.87E-04,116
1.78E-04,117,2.75E-04,117
1.71E-04,118,2.63E-04,118
1.55E-04,119,2.39E-04,119
1.40E-04,120,2.15E-04,120
1.32E-04,121,2.03E-04,121
1.32E-04,122,2.03E-04,122
1.32E-04,123,2.03E-04,123
1.32E-04,124,2.03E-04,124
1.24E-04,125,1.91E-04,125
1.24E-04,126,1.91E-04,126
1.24E-04,127,1.91E-04,127
1.09E-04,128,1.67E-04,128
1.09E-04,129,1.67E-04,129
1.09E-04,130,1.67E-04,130
1.09E-04,131,1.67E-04,131
1.09E-04,132,1.67E-04,132
1.09E-04,133,1.67E-04,133
1.09E-04,134,1.67E-04,134
1.09E-04,135,1.67E-04,135
1.01E-04,136,1.55E-04,136
9.30E-05,137,1.43E-04,137
9.30E-05,138,1.43E-04,138
9.30E-05,139,1.43E-04,139
8.53E-05,140,1.31E-04,140
7.75E-05,141,1.20E-04,141
7.75E-05,142,1.20E-04,142
7.75E-05,143,1.20E-04,143
7.75E-05,144,1.20E-04,144
7.75E-05,145,1.20E-04,145
